Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Peaches Bed & Breakfast,29 Gay Ave SE,,Grand Rapids,MI,49503,,616-454-8000,E,,Public - Call ahead,24 hours daily; for guest use only,,,,,,1.0,,,Non-Networked,,200-9,42.962078,-85.659019,2025-11-13,38778,2026-02-02 23:16:24 UTC,P,,,2011-04-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,B_AND_B,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,CITY OF HOLLAND 127 E 8TH,127 E 8th St,,Holland,MI,49423,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.790376,-86.101511,2026-08-09,40444,2026-08-09 01:31:51 UTC,,,,2011-05-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,MGM Casino - Public Parking Structure,1777 3rd St,"Southwest of intersection of 3rd Street and Fisher Highway; spaces in center of the 6th floor of public parking structure, immediately east and west of the center electrical/facilities room.",Detroit,MI,48226,,877-888-2121,E,,Public,24 hours daily,,,,,,24.0,,7 Conductive 120V,Non-Networked,,GPS,42.33476,-83.0608,2023-02-13,40603,2026-06-25 00:28:12 UTC,T,,,2012-08-13,,,,,J1772,US,,,,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,City of Saline - City Parking Lot #2,101 E Henry St,Southeast of intersection of Ann Arbor Street and Michigan Avenue; single unit behind Comerica Bank in City Parking Lot #2 on northern end of center island.,Saline,MI,48176,,734-429-4907,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,42.166498,-83.780162,2025-12-12,40610,2026-02-02 23:16:24 UTC,T,,,2011-06-21,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Crystal Mountain Resort & Spa,12500 Crystal Mountain Dr,M-115 and Lindy Road,Thompsonville,MI,49683,,231-378-2000,E,,Public - Call ahead,24 hours daily; for customer or guest use only,,,,,,3.0,,,Non-Networked,,200-9,44.520371,-85.991356,2025-06-06,40653,2026-02-02 23:16:24 UTC,P,,,2011-07-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,CITY OF GR MGR OTTAWA FULTON 1,50 Ottawa Ave NW,,Grand Rapids,MI,49503,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.963679,-85.670993,2026-08-09,42720,2026-08-09 01:24:46 UTC,,,,2011-12-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,CITY OF GR MGR GALLERY PLACE,10 Commerce Ave SW,,Grand Rapids,MI,49503,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.962871,-85.668737,2026-08-09,42729,2026-08-09 01:24:23 UTC,,,,2011-12-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,University of Detroit Mercy,4001 W McNichols Rd,Regular parking spaces (fifth through eighth) north of handicapped parking spaces along western face of Calihan Hall by building's western emergency exit.,Detroit,MI,48221,,313-993-1234,E,,Public,24 hours daily; for students and staff only,,,,,,2.0,,,Non-Networked,,GPS,42.41423,-83.1364,2025-07-03,43253,2026-02-02 23:16:24 UTC,T,,,2012-05-03,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,True,
ELEC,Ann Arbor Nissan,3975 Jackson Rd,,Ann Arbor,MI,48103,,734-663-7770,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,2.0,,Non-Networked,,GPS,42.284447,-83.808724,2026-01-13,44287,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Gezon Nissan,3985 Plainfield Ave NE,,Grand Rapids,MI,49525,,,E,,Public - Call ahead,Dealership business hours; contact 616-361-7361 for more information,,,,,,1.0,1.0,,Non-Networked,,200-8,43.0363,-85.61852,2024-02-12,44289,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Gezon Nissan,3985 Plainfield Ave NE,,Grand Rapids,MI,49525,,,E,,Private,,,,,,,2.0,,,Non-Networked,,200-8,43.0363,-85.61852,2024-02-12,44290,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Fox Nissan,4430 28th St SE,,Kentwood,MI,49512,,616-942-8040,E,,Public,24 hours daily,,,,,,3.0,,,Non-Networked,,GPS,42.911653,-85.5583,2026-01-13,44293,2026-02-02 23:16:24 UTC,P,,,2018-09-12,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Fox Nissan,4430 28th St SE,,Kentwood,MI,49512,,616-942-8040,E,,Private,,,,,,,1.0,,,Non-Networked,,GPS,42.911653,-85.5583,2026-01-13,44294,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Garber Nissan,5450 Bay Rd,,Saginaw,MI,48604,,989-790-0120,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,GPS,43.486850143,-83.973901793,2026-01-13,44295,2026-02-02 23:16:24 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Traverse City Auto Plaza,1331 S Garfield Ave,,Traverse City,MI,49686,,231-946-5540,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-8,44.74352,-85.59523,2024-02-12,44297,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Traverse City Auto Plaza,1331 S Garfield Ave,,Traverse City,MI,49686,,231-946-5540,E,,Private,,,,,,,1.0,,,Non-Networked,,200-8,44.74352,-85.59523,2024-02-12,44298,2025-02-12 00:16:32 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,False,
